               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099257,            0.021027,            0.034461,          0.00022741,            0.029321,          0.00011976,          3.2797e-05,             0.10283,             0.01444,            0.037913,            0.070019,           0.0033312,           0.0033312
                   1,            0.086298,             0.01807,            0.031055,           0.0034998,             0.20525,           0.0022954,          0.00079066,            0.077498,            0.012227,            0.035098,            0.039953,           0.0065985,           0.0065985
                   2,            0.059026,            0.016818,            0.029235,              0.3555,             0.30864,             0.23803,             0.11044,            0.040661,            0.012456,            0.031024,           0.0098213,           0.0097999,           0.0097999
                   3,             0.04172,            0.015041,            0.029305,             0.80979,              0.6964,             0.70525,             0.42667,            0.027895,           0.0092102,            0.031416,            0.009703,            0.009703,            0.009703
                   4,            0.033749,            0.010863,            0.029294,             0.83719,             0.83333,             0.80149,             0.46958,            0.027026,           0.0063615,            0.031398,            0.009703,            0.009703,            0.009703
                   5,            0.030844,            0.008048,            0.029808,             0.84964,             0.88889,             0.83069,             0.51179,            0.023368,           0.0053849,            0.030634,            0.009604,            0.009604,            0.009604
                   6,            0.027588,           0.0066723,            0.029303,             0.86588,             0.89666,             0.84542,             0.58559,            0.021445,           0.0047088,            0.030683,            0.009505,            0.009505,            0.009505
                   7,            0.025575,           0.0061364,            0.029697,             0.86381,              0.9103,             0.85703,              0.6068,            0.020139,           0.0043356,              0.0307,            0.009406,            0.009406,            0.009406
                   8,             0.02345,           0.0055817,            0.029245,             0.85267,             0.91101,             0.84784,             0.62009,            0.017822,           0.0043493,            0.031176,            0.009307,            0.009307,            0.009307
                   9,            0.022839,           0.0053871,            0.029663,             0.85952,             0.92593,             0.87699,             0.64789,             0.01795,           0.0040542,            0.029677,            0.009208,            0.009208,            0.009208
                  10,            0.020768,            0.004968,            0.029117,             0.84447,              0.9217,             0.86024,              0.6486,            0.017005,           0.0039888,            0.029782,            0.009109,            0.009109,            0.009109
                  11,            0.020476,           0.0048638,            0.029607,             0.85354,             0.91821,             0.85203,             0.64816,            0.015885,           0.0039563,            0.030722,             0.00901,             0.00901,             0.00901
                  12,            0.019772,           0.0046375,            0.029321,             0.86177,              0.9429,             0.88369,             0.65842,            0.016842,           0.0037814,            0.031093,            0.008911,            0.008911,            0.008911
                  13,            0.019209,           0.0046993,            0.029517,             0.85933,             0.93329,             0.86634,             0.65866,            0.015812,           0.0037628,            0.030588,            0.008812,            0.008812,            0.008812
                  14,            0.018913,           0.0045253,            0.029598,             0.86775,             0.93673,             0.88245,             0.68033,            0.016159,           0.0036788,            0.029662,            0.008713,            0.008713,            0.008713
                  15,            0.018151,           0.0044722,            0.029608,             0.85847,             0.91821,             0.88104,             0.67143,            0.015403,           0.0037651,            0.031168,            0.008614,            0.008614,            0.008614
                  16,            0.018056,           0.0043292,            0.029791,             0.86062,             0.93827,             0.88236,              0.6758,            0.015274,           0.0036594,            0.031117,            0.008515,            0.008515,            0.008515
                  17,            0.017082,           0.0041869,             0.02939,             0.85456,             0.95679,             0.88587,             0.69158,            0.014463,           0.0035841,            0.030203,            0.008416,            0.008416,            0.008416
                  18,            0.016683,           0.0040402,            0.029263,             0.86407,             0.94599,             0.89272,             0.67762,              0.0144,           0.0035698,            0.031351,            0.008317,            0.008317,            0.008317
                  19,             0.01632,           0.0039955,            0.029449,             0.86159,             0.95216,             0.89416,             0.69948,            0.014257,           0.0035974,             0.03125,            0.008218,            0.008218,            0.008218
                  20,            0.016137,           0.0038714,            0.029421,             0.86014,              0.9537,             0.88951,             0.68981,            0.014723,           0.0035484,            0.031721,            0.008119,            0.008119,            0.008119
                  21,            0.015779,           0.0038143,            0.029171,             0.85903,             0.95917,             0.89441,             0.70491,            0.013591,           0.0034714,            0.030231,             0.00802,             0.00802,             0.00802
                  22,            0.016002,           0.0038893,            0.029337,             0.86568,             0.96473,              0.8934,             0.69787,            0.013645,           0.0034711,               0.031,            0.007921,            0.007921,            0.007921
                  23,            0.015404,           0.0037596,            0.029368,             0.86076,             0.96357,             0.89476,             0.69708,            0.013874,           0.0034491,            0.030376,            0.007822,            0.007822,            0.007822
                  24,            0.015508,           0.0037883,             0.02934,             0.86453,              0.9651,             0.90181,             0.70464,            0.013549,           0.0034766,            0.030192,            0.007723,            0.007723,            0.007723
                  25,            0.015433,            0.003843,            0.029424,             0.85639,              0.9571,              0.8974,             0.71295,             0.01336,           0.0034293,            0.030428,            0.007624,            0.007624,            0.007624
                  26,            0.014891,           0.0037104,            0.028854,             0.85627,             0.96605,             0.90947,             0.72492,            0.013769,           0.0033763,            0.030923,            0.007525,            0.007525,            0.007525
                  27,            0.015267,           0.0036987,            0.029013,             0.85178,             0.96669,             0.91326,             0.72842,            0.013864,           0.0034421,            0.031962,            0.007426,            0.007426,            0.007426
                  28,            0.015646,           0.0037485,            0.028926,             0.86074,             0.95988,             0.91864,             0.73545,            0.013521,           0.0033799,            0.032557,            0.007327,            0.007327,            0.007327
                  29,            0.015132,           0.0036684,            0.027932,             0.85937,             0.96187,              0.9306,             0.74413,             0.01349,           0.0034056,            0.031671,            0.007228,            0.007228,            0.007228
                  30,            0.014902,            0.003624,             0.02693,             0.86009,             0.96767,             0.93378,             0.74815,            0.013696,           0.0033705,            0.032207,            0.007129,            0.007129,            0.007129
                  31,            0.015254,            0.003631,             0.02611,             0.86067,             0.96277,             0.94645,             0.74786,            0.014136,            0.003507,            0.032247,             0.00703,             0.00703,             0.00703
                  32,            0.015177,           0.0037602,            0.025562,             0.85885,             0.96142,             0.95204,             0.75953,            0.013448,           0.0034256,            0.033264,            0.006931,            0.006931,            0.006931
                  33,            0.015565,           0.0038118,            0.024567,             0.87122,             0.95007,             0.95463,             0.75986,            0.013664,            0.003397,            0.030455,            0.006832,            0.006832,            0.006832
                  34,            0.015667,            0.003941,             0.02485,             0.87222,             0.92901,             0.94726,             0.74917,            0.013885,           0.0034654,            0.034678,            0.006733,            0.006733,            0.006733
                  35,            0.015252,           0.0037269,            0.023788,             0.87509,             0.94136,             0.95964,             0.76192,            0.013731,           0.0034342,            0.034247,            0.006634,            0.006634,            0.006634
                  36,            0.015704,           0.0037887,            0.022673,             0.88722,             0.92266,             0.96498,             0.75659,            0.013654,           0.0033982,            0.035959,            0.006535,            0.006535,            0.006535
                  37,            0.014872,            0.003627,            0.022066,             0.88112,              0.9379,             0.95849,             0.76525,            0.013656,           0.0033851,            0.032751,            0.006436,            0.006436,            0.006436
                  38,             0.01532,           0.0037691,            0.022301,              0.9036,             0.91126,             0.96404,             0.76105,            0.013678,           0.0033659,            0.036848,            0.006337,            0.006337,            0.006337
                  39,            0.015096,           0.0036701,            0.020684,             0.89109,             0.95959,             0.95767,             0.75247,            0.013513,           0.0033966,            0.035135,            0.006238,            0.006238,            0.006238
                  40,            0.015173,           0.0037517,            0.020393,             0.85942,             0.97173,             0.95122,             0.74503,            0.013589,           0.0033415,            0.038293,            0.006139,            0.006139,            0.006139
                  41,            0.014855,            0.003633,            0.019718,             0.86226,             0.95216,             0.92887,             0.72277,            0.013797,           0.0033719,            0.040611,             0.00604,             0.00604,             0.00604
                  42,            0.015054,            0.003639,            0.019074,             0.89409,             0.95101,             0.94824,             0.75133,             0.01354,           0.0033509,            0.038326,            0.005941,            0.005941,            0.005941
                  43,             0.01477,           0.0036478,            0.019178,             0.86125,             0.94836,             0.92996,             0.72474,              0.0138,           0.0033763,            0.039946,            0.005842,            0.005842,            0.005842
                  44,             0.01504,           0.0036463,            0.018581,             0.85297,             0.96142,             0.92103,             0.70624,            0.013752,           0.0033912,            0.037618,            0.005743,            0.005743,            0.005743
                  45,            0.014817,           0.0036901,            0.018035,             0.87377,             0.94907,             0.93938,             0.73295,            0.013579,           0.0034081,            0.039628,            0.005644,            0.005644,            0.005644
                  46,              0.0147,           0.0036175,            0.017146,             0.89789,             0.94136,             0.94866,             0.73056,            0.013551,           0.0033582,            0.038275,            0.005545,            0.005545,            0.005545
                  47,            0.014434,           0.0035916,            0.016114,             0.88035,             0.93103,             0.92999,             0.72603,            0.013457,           0.0032839,            0.039643,            0.005446,            0.005446,            0.005446
                  48,            0.014935,           0.0036316,            0.016112,             0.86899,              0.9622,             0.92193,             0.71356,             0.01353,           0.0033914,            0.038976,            0.005347,            0.005347,            0.005347
                  49,            0.014729,           0.0036506,            0.015869,              0.8949,             0.95927,               0.933,             0.72979,             0.01335,           0.0032842,            0.038463,            0.005248,            0.005248,            0.005248
                  50,            0.014411,            0.003576,            0.014855,             0.89492,             0.94753,             0.94309,             0.73789,            0.013656,           0.0032041,            0.045771,            0.005149,            0.005149,            0.005149
                  51,            0.014314,           0.0035214,            0.014313,             0.86696,             0.97222,             0.92252,             0.72981,            0.013394,           0.0033464,            0.046626,             0.00505,             0.00505,             0.00505
                  52,            0.014321,           0.0035687,            0.015807,             0.89099,              0.9334,             0.94787,             0.74898,            0.013054,           0.0032423,            0.038732,            0.004951,            0.004951,            0.004951
                  53,            0.014013,           0.0035832,            0.014369,             0.91268,             0.92284,             0.94958,             0.74143,            0.013133,           0.0032065,            0.043186,            0.004852,            0.004852,            0.004852
                  54,            0.013787,           0.0034318,            0.014168,             0.88722,             0.96914,             0.94994,             0.74893,            0.013176,           0.0032918,            0.044745,            0.004753,            0.004753,            0.004753
                  55,            0.013832,           0.0033852,            0.013576,             0.89219,             0.95525,             0.94997,             0.75521,            0.012945,           0.0032531,            0.043385,            0.004654,            0.004654,            0.004654
                  56,            0.013578,           0.0033965,            0.014186,             0.90545,             0.95833,             0.95718,             0.76081,            0.013032,           0.0032326,            0.038203,            0.004555,            0.004555,            0.004555
                  57,            0.013874,           0.0033956,             0.01393,             0.91726,             0.95679,             0.96954,             0.76889,             0.01316,           0.0032382,            0.044429,            0.004456,            0.004456,            0.004456
                  58,            0.013587,           0.0034095,            0.013083,             0.90649,             0.92756,             0.95108,             0.75919,            0.012816,            0.003191,            0.045735,            0.004357,            0.004357,            0.004357
                  59,            0.013656,           0.0033574,            0.013083,              0.9067,             0.95983,             0.94927,             0.75907,            0.012646,           0.0031583,             0.04017,            0.004258,            0.004258,            0.004258
                  60,            0.013703,           0.0033596,            0.012676,              0.9124,             0.96444,             0.95415,             0.76115,            0.012892,            0.003259,            0.041081,            0.004159,            0.004159,            0.004159
                  61,            0.013479,           0.0033791,             0.01257,             0.91631,             0.94622,             0.95021,             0.76304,            0.012734,           0.0032373,            0.042116,             0.00406,             0.00406,             0.00406
                  62,            0.013308,           0.0032906,            0.012567,             0.90532,             0.95525,             0.95438,              0.7665,            0.012695,             0.00312,            0.043333,            0.003961,            0.003961,            0.003961
                  63,            0.013351,           0.0033377,            0.012395,              0.8941,             0.94753,             0.95688,             0.75999,            0.012827,           0.0032473,            0.046851,            0.003862,            0.003862,            0.003862
                  64,             0.01351,           0.0033269,             0.01259,             0.90718,             0.96532,             0.96057,             0.76602,            0.012662,           0.0031491,            0.042765,            0.003763,            0.003763,            0.003763
                  65,            0.013274,           0.0033377,            0.012234,             0.86911,             0.98148,             0.94528,             0.75411,            0.012608,           0.0032061,            0.048405,            0.003664,            0.003664,            0.003664
                  66,            0.013159,           0.0032909,            0.012673,             0.90156,             0.96451,             0.96026,              0.7713,            0.012437,           0.0031018,            0.045027,            0.003565,            0.003565,            0.003565
                  67,            0.013042,           0.0033351,            0.012511,             0.89537,             0.96759,             0.95907,             0.76628,            0.012545,           0.0030606,            0.043858,            0.003466,            0.003466,            0.003466
                  68,            0.013129,           0.0032439,            0.011724,             0.91443,             0.96451,             0.95397,             0.76552,            0.012346,           0.0031107,            0.044469,            0.003367,            0.003367,            0.003367
                  69,            0.012694,           0.0032415,            0.011453,             0.89236,              0.9784,             0.94672,             0.76149,            0.012392,            0.003219,            0.045928,            0.003268,            0.003268,            0.003268
                  70,            0.012633,           0.0031708,            0.011712,              0.8939,             0.97512,             0.96223,             0.77704,            0.012478,           0.0031185,            0.043855,            0.003169,            0.003169,            0.003169
                  71,            0.012769,           0.0032352,            0.011374,             0.91507,             0.94779,             0.95956,             0.77456,            0.012471,           0.0030067,            0.048091,             0.00307,             0.00307,             0.00307
                  72,            0.012331,           0.0031683,              0.0119,             0.91211,             0.95679,             0.96657,             0.78655,            0.012243,            0.003126,            0.043908,            0.002971,            0.002971,            0.002971
                  73,            0.012438,           0.0031115,            0.011777,             0.92521,             0.95988,             0.96062,             0.77686,            0.012287,           0.0031616,            0.041671,            0.002872,            0.002872,            0.002872
                  74,            0.012408,           0.0031485,            0.011154,             0.92649,             0.93357,             0.96759,             0.78721,            0.012495,           0.0031229,            0.047217,            0.002773,            0.002773,            0.002773
                  75,            0.012619,           0.0031954,            0.011407,             0.92421,             0.96296,             0.96063,             0.77559,            0.012662,           0.0031096,            0.038044,            0.002674,            0.002674,            0.002674
                  76,            0.012887,           0.0032469,           0.0099162,             0.92794,             0.95525,             0.97157,             0.79068,            0.012896,           0.0031436,            0.028706,            0.002575,            0.002575,            0.002575
                  77,            0.012609,           0.0032105,           0.0087962,             0.91917,             0.95216,             0.97573,              0.7885,            0.013123,           0.0032067,            0.021984,            0.002476,            0.002476,            0.002476
                  78,            0.012686,            0.003168,           0.0077664,             0.90865,             0.95171,             0.96943,             0.78009,            0.012768,           0.0032515,             0.02803,            0.002377,            0.002377,            0.002377
                  79,            0.012775,           0.0032095,           0.0076589,             0.90376,             0.96605,             0.97922,             0.79011,            0.012919,           0.0033014,            0.019684,            0.002278,            0.002278,            0.002278
                  80,            0.012735,            0.003165,           0.0068006,             0.93102,             0.95817,             0.97975,             0.79593,            0.012836,           0.0032505,            0.018356,            0.002179,            0.002179,            0.002179
                  81,            0.012813,           0.0032295,           0.0066406,              0.9268,             0.95739,             0.98388,             0.80093,            0.012859,           0.0032271,            0.018565,             0.00208,             0.00208,             0.00208
                  82,             0.01256,           0.0031792,           0.0063064,              0.9249,             0.96605,             0.97937,             0.79877,            0.012722,           0.0031892,             0.01634,            0.001981,            0.001981,            0.001981
                  83,             0.01264,           0.0032132,           0.0061902,              0.9186,             0.95216,             0.97683,             0.79799,            0.012613,            0.003184,            0.015482,            0.001882,            0.001882,            0.001882
                  84,            0.012525,           0.0031543,           0.0053859,             0.94129,             0.93981,             0.98313,             0.79944,            0.012919,           0.0032335,            0.013588,            0.001783,            0.001783,            0.001783
                  85,            0.012566,           0.0032158,           0.0054556,             0.90289,             0.94702,             0.97774,                 0.8,            0.012611,           0.0031454,            0.017282,            0.001684,            0.001684,            0.001684
                  86,             0.01215,           0.0032374,           0.0058995,             0.93938,             0.93827,             0.98316,             0.81026,            0.012489,           0.0031429,            0.013058,            0.001585,            0.001585,            0.001585
                  87,            0.012102,           0.0030825,           0.0054519,             0.94141,             0.94232,             0.98089,             0.80464,            0.012551,           0.0031651,            0.012593,            0.001486,            0.001486,            0.001486
                  88,            0.012141,           0.0031745,           0.0048174,             0.94495,             0.95354,             0.98417,             0.80664,            0.012462,            0.003235,            0.010245,            0.001387,            0.001387,            0.001387
                  89,            0.011986,            0.003114,            0.004336,              0.9311,             0.95062,             0.98253,             0.80642,            0.012494,           0.0031637,             0.01202,            0.001288,            0.001288,            0.001288
                  90,            0.011955,           0.0030898,           0.0046576,             0.95325,             0.94392,             0.98399,             0.80873,            0.012356,           0.0031629,            0.010597,            0.001189,            0.001189,            0.001189
                  91,            0.012021,           0.0031733,           0.0039746,             0.93004,             0.95988,             0.98319,             0.80786,              0.0124,           0.0031333,            0.012498,             0.00109,             0.00109,             0.00109
                  92,             0.01179,           0.0031361,           0.0042459,             0.94921,             0.95178,             0.98584,             0.81512,            0.012245,           0.0031352,            0.011472,            0.000991,            0.000991,            0.000991
                  93,            0.011778,           0.0030472,           0.0041481,             0.95788,             0.94766,             0.98526,             0.81237,            0.012252,           0.0031974,           0.0099368,            0.000892,            0.000892,            0.000892
                  94,            0.011612,           0.0031158,           0.0039893,             0.95168,             0.95988,              0.9858,             0.81503,            0.012289,           0.0031554,           0.0079966,            0.000793,            0.000793,            0.000793
                  95,            0.011647,           0.0030417,           0.0040638,             0.95892,             0.93981,             0.98567,             0.81623,            0.012218,           0.0031702,            0.008898,            0.000694,            0.000694,            0.000694
                  96,            0.011561,           0.0031029,           0.0040753,              0.9594,             0.94819,             0.98663,             0.81357,            0.012179,           0.0031578,           0.0071323,            0.000595,            0.000595,            0.000595
                  97,            0.011499,            0.003084,           0.0035817,             0.94488,             0.95227,             0.98512,             0.81584,            0.012123,           0.0031645,           0.0075552,            0.000496,            0.000496,            0.000496
                  98,            0.011356,           0.0030024,           0.0034715,             0.95632,             0.94597,             0.98552,             0.81388,            0.012084,           0.0031858,           0.0079359,            0.000397,            0.000397,            0.000397
                  99,            0.011322,           0.0030038,           0.0032049,              0.9607,             0.94307,              0.9859,             0.81407,            0.012149,           0.0032114,           0.0076204,            0.000298,            0.000298,            0.000298
